id,status,name,intersection,direction,street_segments
1,Operating,20th Ave,20th Ave & Judah St,north-south,"Judah St, Kirkham St, Lawton St, Moraga St, Noriega St"
2,Operating,20th Ave,20th Ave & Ortega St,north-south,"Judah St, Kirkham St, Lawton St, Moraga St, Noriega St"
3,Operating,20th St,20th St & Potrero Ave,east-west,"Potrero Ave, Hampshire St, York St, Bryant St, Florida St, Alabama St, Harrison St, Treat Ave, Folsom St, Shotwell St, South Van Ness Ave, Capp St, Mission St, San Carlos St"
4,Operating,20th St,20th St & Lexington St,east-west,"Potrero Ave, Hampshire St, York St, Bryant St, Florida St, Alabama St, Harrison St, Treat Ave, Folsom St, Shotwell St, South Van Ness Ave, Capp St, Mission St, San Carlos St"
5,Operating,23rd Ave,23rd Ave & Lake St,north-south,"Lake St, California St, Clement St, Geary Blvd, Anza St, Balboa St"
6,Operating,23rd Ave,23rd Ave & Cabrillo St,north-south,"Lake St, California St, Clement St, Geary Blvd, Anza St, Balboa St"
7,Operating,41st Ave,41st Ave & Lincoln Way,north-south,"Lincoln Way, Irving St, Judah St, Kirkham St, Lawton St, Moraga St, Noriega St, Ortega St, Pacheco St, Quintara St, Rivera St, Santiago St, Taraval St, Ulloa St"
8,Operating,41st Ave,41st Ave & Vicente St,north-south,"Lincoln Way, Irving St, Judah St, Kirkham St, Lawton St, Moraga St, Noriega St, Ortega St, Pacheco St, Quintara St, Rivera St, Santiago St, Taraval St, Ulloa St"
9,Operating,Arkansas St,Arkansas St & 17th St,north-south,"17th St, Mariposa St, 18th St, 19th St, 20th St, 22nd St, Madera St"
10,Operating,Arkansas St,Arkansas St & 23rd St,north-south,"17th St, Mariposa St, 18th St, 19th St, 20th St, 22nd St, Madera St"
11,Operating,Arlington St,Arlington St & Randall St,north-south,"Randall St, Fairmount St, Charles St, Highland Ave, Miguel St, Mateo St, Saint Mary's Ave"
12,Operating,Arlington St,Arlington St & Roanoke St,north-south,"Randall St, Fairmount St, Charles St, Highland Ave, Miguel St, Mateo St, Saint Mary's Ave"
13,Operating,Cabrillo St,Cabrillo St & 25th Ave,east-west,"25th Ave, 26th Ave, 27th Ave, 28th Ave, 29th Ave, 30th Ave, 31st Ave, 32nd Ave, 33rd Ave, 34th Ave, 35th Ave, 36th Ave, 37th Ave, 38th Ave, 39th Ave, 40th Ave, 41st Ave, 42nd Ave, 43rd Ave, 44th Ave"
14,Operating,Cabrillo St,Cabrillo St & 45th Ave,east-west,"25th Ave, 26th Ave, 27th Ave, 28th Ave, 29th Ave, 30th Ave, 31st Ave, 32nd Ave, 33rd Ave, 34th Ave, 35th Ave, 36th Ave, 37th Ave, 38th Ave, 39th Ave, 40th Ave, 41st Ave, 42nd Ave, 43rd Ave, 44th Ave"
15,Operating,Chenery St,Chenery St & Lippard Ave,east-west,"Lippard Ave, Chilton Ave"
16,Operating,Chenery St,Chenery St & Burnside Ave,east-west,"Lippard Ave, Chilton Ave"
17,Operating,Clay St,Clay St & Steiner St,east-west,"Steiner St, Pierce St, Scott St, Divisadero St, Broderick St, Baker St, Lyon St, Presidio Ave, Walnut St, Laurel St, Locust St, Spruce St, Maple St, Cherry St"
18,Operating,Clay St,Clay St & Arguello Blvd,east-west,"Steiner St, Pierce St, Scott St, Divisadero St, Broderick St, Baker St, Lyon St, Presidio Ave, Walnut St, Laurel St, Locust St, Spruce St, Maple St, Cherry St"
19,Operating,Duncan St,Duncan St & Guerrero St,east-west,"Guerrero St, Dolores St, Church St "
20,Operating,Duncan St,Duncan St & Sanchez St,east-west,"Guerrero St, Dolores St, Church St "
21,Operating,Excelsior Ave,Excelsior Ave & London St,north-south,"London St, Paris St, Lisbon St, Madrid St, Edinburg St, Naples St, Vienna St, Athens St, Moscow St"
22,Operating,Excelsior Ave,Excelsior Ave & Munich St,north-south,"London St, Paris St, Lisbon St, Madrid St, Edinburg St, Naples St, Vienna St, Athens St, Moscow St"
23,Operating,Golden Gate Ave,Golden Gate Ave & Broderick St,east-west,"Broderick St, Baker St, Lyon St, Central Ave"
24,Operating,Golden Gate Ave,Golden Gate Ave & Masonic Ave,east-west,"Broderick St, Baker St, Lyon St, Central Ave"
25,Operating,Holly Park Circle,Holly Park Cir & Appleton Ave,circle,Appleton Ave
26,Operating,Holly Park Circle,Holly Park Cir & Highland Ave,circle,Highland Ave
27,Operating,Holly Park Circle,Holly Park Cir & Park St,circle,Park St
28,Operating,Holly Park Circle,Holly Park Cir & Murray St,circle,Murray St
29,Operating,Holly Park Circle,Holly Park Cir & Newman St,circle,Newman St
30,Operating,Holly Park Circle,Holly Park Cir & Elsie St,circle,Elsie St
31,Operating,Holly Park Circle,Holly Park Cir & Bocana St,circle,Bocana St
